i_type,date,p_type,details,age,birthmonth,sex,pk,longitude,latitude
Curb,2015-06-29T01:05:00,hazard,,,,,1258,-123.3495569,48.46304755
Island,2015-06-11T07:20:00,hazard,"Cyclist riding around Island heading towards downtown enter into crosswalk from right and head on into other cyclists and pedestrians. Cyclist also ride around island travelling towards Colwood.  Very common to see near collisions with vehicles using the right hand turn lane.",1961,9,M,1102,-123.3903372,48.45852976
Poor visibility,2015-05-12T02:30:00,hazard,"When approaching the crossing of Saanich Rd from the North,  there is a blockage of visibility by vegetation.  Both cars & cyclists may fail to see each other, resulting in increased risk of a collision.  The vegetation should be removed to improve sightlines & visibility for both drivers & cyclists",1952,9,M,1189,-123.3678156,48.46337008
Driver behaviour,2015-10-10T09:30:00,hazard,"We were riding along the bike lane in a single file and a driver, for no good reason, gave us a mean honk, drove to the front of the packed, and smoked the front cyclist. Beware of bad drivers, and stay calm.",1994,2,M,1765,-123.4099817,48.5085588
Other infrastructure,2015-09-12T09:00:00,hazard,Dangerously narrow bike lane - BELOW all accepted industry standards for MINIMUM ALLOWABLE WIDTH.,1957,11,M,1582,-123.3648562,48.42649524
Road surface,2015-09-14T15:35:00,hazard,"Southbound transition between trail and bridge worse every day, significant 3"" jump now which could cause a fall or wheel damage quite easily",1979,6,M,1637,-123.3599639,48.48229704
Other infrastructure,2015-08-01T22:25:00,hazard,There is no shoulder on this curve so bicycles must take the lane to some extent. Vehicles are tempted to pass on the blind curve leading to a deadly hazard if two vehicles meet.,1954,6,M,1438,-123.3690459,48.46169937
Other infrastructure,2015-09-12T09:25:00,hazard,Dangerously narrow bike lane - BELOW all accepted industry standards for MINIMUM ALLOWABLE WIDTH.,1957,11,M,1583,-123.3625281,48.43617676
Poor visibility,2012-08-10T13:55:00,hazard,"Down hill track, then crossing a main road, poor visibility from left due to overhanging tree branches.  The hazard only exist when biking westwards.",,,,452,-123.3209753,48.42420273
Traffic flow,2014-10-15T11:25:00,hazard,When traffic is backed up there is potential that a vehicle will turn into Adams Place.  As the vehicle is turning left across two lanes there is potential that a cyclist cannot see the vehicle.  Be careful going down this hill towards sooke intersection.,,,,485,-123.4518886,48.46053613
Other,2014-10-15T08:00:00,hazard,Wildlife. Deer clustered on the road.,,,,571,-123.3031654,48.45156374
Train track,2015-01-27T20:45:00,hazard,Bike skidded out when crossing wet train track throwing me over the handlebars,,,,701,-123.3876634,48.43033115
Other infrastructure,2015-09-12T09:25:00,hazard,Dangerously narrow bike lane on inside curve with vegetation overhang - BELOW all accepted industry standards for MINIMUM ALLOWABLE WIDTH.,1957,11,M,1584,-123.36182,48.43184166
Road surface,2015-06-13T10:30:00,hazard,On the small stretch of trail from Lochside Drive to the traffic lights at Mattick's Farm the surface has become very rough due to tree roots lifting the surface and creating ridges crossing the trail.,1952,3,M,1193,-123.3733439,48.52899356
Other infrastructure,2015-09-12T09:25:00,hazard,"Dangerously narrow bike lane - BELOW all accepted industry standards for MINIMUM ALLOWABLE WIDTH.This lane is not even HALF the width of the narrowest allowed bike lane by ALL accepted industry standards, with overhanging vegetation and narrow car lanes beside. ",1957,11,M,1585,-123.3298373,48.43048197
Driver behaviour,2015-05-28T00:30:00,hazard,Commercial truck parked in bike lane.,,,,1049,-123.3579973,48.42554766
Road surface,2015-10-01T10:00:00,hazard,Gravel on the road in the bike lanée.,,,,1732,-123.3383126,48.46866884
Parked car,2015-05-30T16:05:00,hazard,Taxi parked in bike lane.,,,,1050,-123.3611083,48.42590318
Traffic flow,2014-05-11T08:00:00,hazard,Terrible intersection for visibility and drivers not stopping or seeing cyclists. Some don't realize musgrave is thru street here. No bike lanes. Time for lights or roundabout!,1971,,,465,-123.3083206,48.43770891
Train track,2015-06-05T07:40:00,hazard,"Came off Springfield St entering Esquimalt Rd Eastbound; front tire got caught in the rut of the train tracks. I went over handlebar, visor of helmet went flying onto road, chain fell off, hurt leg slightly and bent glasses on impact with concrete.I had a scratch on face from incident.",,,,1615,-123.3877999,48.43048909
Driver behaviour,2015-07-23T10:05:00,hazard,Cyclists often ride across this sidewalk after biking up Midgard Ave. This often confuses drivers and increases my chances of being hit by one of them.,1990,6,M,1405,-123.3207768,48.46357045
Traffic flow,2015-09-11T16:30:00,hazard,"Corner of Broughton St and Douglas (westbound), the road curves and cars tend to drive over the curb, I watched a lady almost get hit as she rode thru the intersection.",,,,1616,-123.3654356,48.42389657
Driver behaviour,2015-08-04T07:50:00,hazard,"Eastbound on Johnson, accessing the blue bridge, a lady in a Mazda Miata raced by me, not letting me enter the roadway to the bridge safely, then gave me the finger and yelled profanity for riding my bike close as she had to slow down due to traffic. ",,,,1617,-123.3729619,48.42792623
Island,2015-03-24T17:00:00,hazard,The islands on Richmond are a huge hazard. There is not enough room for a bike and a vehicle to ride side by side and I am thrown onto the sidewalk many times when a bus attempts to pass me.  Please re-think the design of Richmond.,1985,4,M,811,-123.328684,48.43592407
Road surface,2015-05-11T07:30:00,hazard,"Two or three tennis ball sized round lumps have popped up on the Galloping Goose in new asphalt near path going to Burnside. Lumps are in the Westbound lane and could cause a crash.Lumps have been there for a few weeks, but were reported to CRD May 12, 2015.",1978,11,M,933,-123.3974504,48.45855822
Congestion,2015-08-27T17:00:00,hazard,"Craigflower heading westbound, lots of traffic entering from Lampson St heading westbound. Cars tend to stop in bike path as they squeeze onto the road.",,,,1618,-123.40105,48.44150081
Congestion,2015-09-15T07:40:00,hazard,"Driver merging left from Ocean Blvd onto Island Hwy didn't see bikes in bike line, cutting one of them off.  Keep your head up when cycling around this area for drivers turning onto Island Hwy and busses merging back into traffic. ",,,,1645,-123.4669679,48.44513764
Driver behaviour,2015-09-25T12:15:00,hazard,"Bike lane not protected.  Drivers routinely use for ""undertaking"".  Will veer into bike lane accelerating around any vehicle in from that slows or stops and pass on the inside at high speed using the bike lane.  Happens on both sides of the road , have seen many near misses.  No Police action taken to stop this dangerous driving.",,,,1695,-123.3220781,48.43887385
Curb,2015-09-12T09:00:00,hazard,"Cycling south toward Oak Bay Avenue along Foul Bay Road is hazardous as there is no bike lane in the blocks north of Oak Bay Ave. Also, the curb on the new development south of Oak Bay sticks out into the lane for no reason. Cyclists can avoid this by going west, but those crossings can be risky.",,,,1591,-123.3227938,48.42668746
Road surface,2015-08-12T15:30:00,hazard,,,,,1672,-123.3029187,48.4477032
Broken glass,2015-06-19T09:10:00,hazard,"Glass on road, northbound  St Charles Street and Chandler",,,,1171,-123.3311462,48.4651818
Broken glass,2015-06-19T11:45:00,hazard,,,,,1172,-123.3174348,48.44991281
Other infrastructure,2015-09-13T04:20:00,hazard,The new bike lanes installed are NARROWER than the MINIMUM ALLOWABLE lane width by ALL accepted industry standards and guidelines. ,1957,11,M,1593,-123.3612728,48.47053838
Poor signage,2015-05-13T17:15:00,hazard,"This crossing/merge lane needs signage right now to alert drivers speeding up to turn north onto the highway, that they must look for cyclists. I wait to cross at this intersection everyday, and in just 3 minutes, I see at least one or two near misses.",,,,937,-123.4045422,48.46006656
Other infrastructure,2015-09-13T04:20:00,hazard,The new bike lanes AND the buffer have been installed NARROWER than the MINIMUM ALLOWABLE lane/buffer width by ALL accepted industry standards and guidelines. ,1957,11,M,1594,-123.3326268,48.46116578
Driver behaviour,2015-09-16T09:05:00,hazard,"Near miss with many cars. I have started using the whole lane, to many cars discontent.",1994,6,M,1649,-123.3312374,48.44621761
Pothole,2015-10-01T09:00:00,hazard,,,,,1720,-123.3585691,48.41738509
Driver behaviour,2015-10-10T12:00:00,hazard,"Poor visibility, parked cars and a curve in the road. Drivers speed through this section and either drive too close to cyclists or drive in the opposing lane around the blind corner.",1975,7,M,1759,-123.3467245,48.41863476
Pothole,2015-02-24T06:50:00,hazard,"Heading SE towards Naden Base entrance, the bike lane and traffic lane merge into one shared lane. A few feet after this merge there is a pretty deep pothole that can catch you unaware and cause you to swerve to avoid it or lose control of your bike when you hit it. ",1979,7,M,712,-123.4180337,48.43694551
Curb,2015-07-25T05:00:00,hazard,"white bike lane line becomes a curb with no warning, dangerous at night",1978,8,M,1412,-123.3994836,48.46527784
Other infrastructure,2015-10-10T12:00:00,hazard,There is no shoulder here and drivers drive far too fast. There is a broad gravel shoulder but it is unusable by road bikes.,1975,7,M,1760,-123.4860706,48.4067848
Traffic flow,2015-02-26T17:45:00,hazard,"Construction - the sidewalk corners are being modified, which only really effects the bike lane traffic, meaning that cars don't need to slow down but cyclists need to cut into traffic as the bike lane disappears. More of a problem during busy hours of the day.",,,F,745,-123.3219516,48.44212713
Driver behaviour,2015-09-16T16:30:00,hazard,"When riding into the university off Midguard Avenue, cyclist must navigate a junction followed immediately by the campus' pedestrian path. Because this requires a zig-zag movements, cyclists often struggle find space within morning and afternoon traffic to cross. ",,,,1651,-123.320986,48.463542
Traffic flow,2015-09-22T09:30:00,hazard,"The McKenzie crossing is the worst spot on the Goose! Cars are accelerating to merge on to the highway even though the speed limit is 50 km/h. Seems like everyday you either almost get hit in the crosswalk, or if a motorist is nice enough to stop, they almost get rear ended by someone speeding. ",,,,1677,-123.4047836,48.46000609
Island,2015-10-10T22:10:00,hazard,Pedestrian island causes cars to pass too close,1982,8,M,1761,-123.3450526,48.41684925
Congestion,2014-09-01T16:30:00,hazard,rush hour out of the downtown is often so tight to the curb to be impassible by bike.  there is no bike lane.  rubbing will be common occurance,,,,600,-123.3854771,48.44995551
Poor signage,2015-07-26T18:30:00,hazard,"Travelling from the airport to Lochside trail is confusing at this roundabout. Continuing on Willingdon Rd is the logical way, but they could really use some better signage.",,,,1414,-123.420099,48.63509241
Road surface,2015-10-01T06:30:00,hazard,Tillicum Road Project - Bike lane is taken over with traffic pylons and single lane for both vehicles and bikes on Carey Road between Tillicum and Seaton.,,,,1723,-123.3835459,48.4616389
Island,2015-10-10T22:15:00,hazard,Islandon uphill slope causes vehicles to pass too close.,1982,8,M,1762,-123.339268,48.41615556
Poor signage,2015-07-26T18:30:00,hazard,Tourists get confused along this stretch of Lochside trail. It's not very well signed as to how to continue south (need to cross Mt. Newton by the McDonald's).,,,,1415,-123.3965921,48.59420098
Other infrastructure,2015-08-22T15:00:00,hazard,"Northbound on Carey. Bicycle lane ends at the curve in the road as Carey turns into Glanford. Travel lane also narrows at the curve, creating a dangerous merge scenario for bicycles traveling northbound. It puts cars and bicycles into conflict due to its unexpected nature. ",1967,2,M,1541,-123.3871561,48.46446328
Pothole,2015-10-06T00:00:00,hazard,I hit a pothole turning left off Government onto Douglas. Just past the painted bicycle stop/left turn area. Scrapes and bruises only because I manage to flip over and land on my back. (With a backpack on cushioned by a jacket inside.) I'd say it was rather comical in appearance but not a fun. ,,,,1742,-123.367002,48.43828367
Road surface,2015-08-21T17:30:00,hazard,"Northbound cycle lane. The road surface has some large bumps, heaves and rises that create a potentially dangerous situation if on a bicycle. ",1967,2,M,1542,-123.366707,48.44608773
Poor visibility,2015-09-08T17:15:00,hazard,Watch for pedestrians crossing particularly if you are  speeding North eastward down the trail. ,,,,1599,-123.4578967,48.45961833
Pothole,2012-12-10T08:30:00,hazard,"There is a small pot hole about here in the bike lane. If you bike this route, you will see it. It where the cyclist swerve. ",,,,428,-123.3156216,48.45233937
Road surface,2014-09-12T10:15:00,hazard,,,,,429,-123.4008461,48.46753294
Traffic flow,2014-01-03T16:10:00,hazard,Poor continuation of bike lane forcing cyclists wanting to ride straight through Carey into ast traffic traffic turning right onto Marigold.,,,,430,-123.3973217,48.47140619
Driver behaviour,2013-01-01T12:00:00,hazard,Traffic moves faster than normal and the road is very narrow.,1983,7,M,431,-123.3599746,48.4622792
Pothole,2014-07-02T09:00:00,hazard,"It's a big dip on a storm grate, just on the south east side of the intersection. It's too big to go through/over on your bike.",1979,12,F,432,-123.3264256,48.44613755
Traffic flow,2014-10-06T08:30:00,hazard,,1958,11,F,433,-123.3186096,48.46843637
Curb,2014-10-06T08:00:00,hazard,,,,,434,-123.3226115,48.4685573
Driver behaviour,2014-05-17T16:00:00,hazard,Bikes continuing south on Shelbourne are in conflict with traffic turning right (west) onto hillside avenue. Multiple conflicts occur and cyclists need to use extreme caution especially during peak traffic hours. ,1985,4,M,435,-123.3334261,48.44583153
Speed limits,2014-09-30T15:20:00,hazard,"When trying to turn left onto Cadboro Bay Road from Cedar Hill Cross Road it is often hazardous because the traffic coming from the left is coming up hill and around the corner. The speed limit is 40 km, but many drivers go faster than that.  The 40 km sign needs to be closer to the intersection a",,,,436,-123.3026934,48.45391194
Traffic flow,2014-10-06T14:40:00,hazard,"Shelbourne is too narrow and busy. If you ride at the edge of the road, drivers often pass too closely. If you take up the lane, they get impatient.",1960,3,F,437,-123.3330345,48.45690041
Road surface,2014-10-07T09:15:00,hazard,Roadworks block the road,,,,438,-123.355093,48.43719108
Other,2014-07-02T16:15:00,hazard,"Uphill busy Northbound approach to stoplight. Road narrows on the uphill as you near the traffic light, and there is no way for a cyclist to get to either the side or the front of cars. Risk of being forced off road into ditch or hit by cars as they approach the light.  The road needs to be widened.",,,,441,-123.3496213,48.46674687
Road surface,1968-09-03T08:00:00,hazard,"This block long section of Maddison Street is along the flattest and shortest route from Fairfield to UVIC/Oak Bay High/Shelbourne.  It's been laid to waste by the City's neglect and its high manholes, dips and ruined surface put the city to shame!  Flatten and pave it correctly, Victoria....",1955,3,M,442,-123.3268118,48.42236579
Pothole,2014-10-08T05:30:00,hazard,Large pothole in the middle of a heavy bike use road. At night it is very dark and would pose a risk to riders.,1985,4,M,445,-123.3454692,48.47950031
Pothole,2014-10-02T17:15:00,hazard,Pothole in the center of the road.,1983,7,M,440,-123.3527541,48.45671541
Congestion,2004-10-10T08:00:00,hazard,"crossing is a popular route for cyclists, however, given there is no way to cross during congested periods cyclists are forced to make a risky crossing unsetting drivers and exposing cyclists to danger of a collision with a vehicle. cyclist controlled light and/or signage required. ",1958,,M,450,-123.3451508,48.43623371
Other,2014-10-09T07:30:00,hazard,Construction in the area has caused vehicles to enter the bike lane. ,1966,7,M,451,-123.375113,48.42823947
Road surface,2014-07-01T13:30:00,hazard,The pavement is developing cracks and potholes that make it even more treacherous to ride on Shelbourne Street.,,,,453,-123.3330345,48.45732732
Other infrastructure,2007-07-01T06:00:00,hazard,Marked Graham St/Vancouver St bike route is difficult to follow across Bay St.  Crossing lights are available for pedestrians but not easily accessible by cyclists.,,,,455,-123.354519,48.43512683
Poor visibility,2014-10-08T18:55:00,hazard,When riding eastbound downhill towards Ash and needing to make a left traffic behind coming on fast -- needs some form of traffic calming. Bike lane abruptly ends at Ash and road is very narrow putting bikes in direct vehicle path right on the curve.,1967,7,M,457,-123.3358347,48.49527231
Poor signage,2014-10-08T17:05:00,hazard,When headed soutbound on West Saanich towards the bike path that goes through the tunnel under the Pat Bay highway -- bikers must turn left across traffic via the crosswalk over the Island.  There is no left turn lane to go from the West Saanich Bike Path to the Royal Oak bike path -- dangerous.,1967,7,M,458,-123.3873278,48.49288692
Other,2004-05-10T09:25:00,hazard,"This is, in my opinion as a Goose regular, the most dangerous crossing. Cars come down the road expecting to merge with the highway, and will often ignore the fact there's a crosswalk there.",1976,2,M,459,-123.3806705,48.45617465
Other infrastructure,2012-11-10T09:30:00,hazard,"This is the short wooden bridge you cross before nearing the main Colwood intersection. In the summer and dry days, it's fine, but in the winter the bridge frosts over, making it *extremely* slippery. I've heard of several accidents, a friend broke her hip crashing here, and crashed 2x myself.",1976,2,M,460,-123.4734321,48.44746479
Congestion,2008-11-01T08:00:00,hazard,HAULTRAIN CROSSES COOK. 4 LANES OF HEAVY TRAFFIC AND THERE  IS NO WAY TO STOP TRAFFIC OTHER THAN RISK A QUICK CROSSING OR AT THE GRACE OF A DRIVER(S),1959,,M,462,-123.3523142,48.43642589
Road surface,2014-07-06T11:05:00,hazard,Potholes and ruts,,,,466,-123.3118719,48.43355012
Driver behaviour,2014-10-06T11:30:00,hazard,Many drivers run this 4way especially in the am. Also ignore cyclists that have stopped and entering intersection. Kids use this intersection frequently ,,,,467,-123.3118826,48.43358215
Curb,2014-02-06T18:00:00,hazard,Curb juts out into side Lane at end of parking here. Not marked  for night or low light conditions. Very hazardous easy to hit obstacle.,,,,469,-123.3130199,48.4351126
Island,2014-08-16T11:20:00,hazard,This Island may be designed to slow traffic but it narrows passage for cyclists. Drivers also speed around this corner and limited visibility.,,,,470,-123.3145595,48.43006551
Driver behaviour,2014-09-10T17:00:00,hazard,Many drivers exceed 70 km/h on the stretch. Very hazardous. Lots of students and dog walkers here. Also many drivers exit rec centre into traffic here. ,,,,472,-123.3100319,48.45744116
Other infrastructure,2014-10-08T08:35:00,hazard,Construction barricades used creating extremely tight turns and unnecessarily narrow passageways for bikes and pedestrians.  Congestion on Bridge westbound widens with new bike lane but then lane is filled with fencing squeezing cyclists back into main traffic.   Extremely hazardous conditions!,,,,473,-123.3748126,48.42815048
Other infrastructure,2010-12-01T09:10:00,hazard,"The road at the end of Pembroke dead-ends. So, the many cycling commuters take the sidewalk through to Fernwood, and back.",1971,8,M,474,-123.3452976,48.43141454
Driver behaviour,2014-10-10T16:05:00,hazard,"Vehicles turning right will crowd the bike lane, especially when stopped for the red light. They tend not to look to the right, instead looking left for the oncoming traffic. Also, motorcyclists will run the bike lane to make the right turn, sometimes squeezing past cyclists.",,,,481,-123.5117126,48.44046167
Poor visibility,2014-10-05T11:10:00,hazard,Bad 4way stop. Drivers often run intersection. Stop signs not well placed esp for drivers unfamiliar w area. ,,,,468,-123.3132935,48.43170996
Speed limits,2014-10-11T11:25:00,hazard,Vehicles drive too fast down this residential street on route to oak bay village. Should be 40 or less.,,,,471,-123.3135724,48.43100877
Other infrastructure,2014-10-13T16:15:00,hazard,Power pole is in the bike lane,,,,482,-123.529619,48.44083178
Traffic flow,2014-10-09T06:45:00,hazard,"Very poor road to be riding on.  Lots of traffic,  no bike lanes.  Burnside Road is another accident waiting to happen.",1969,1,M,454,-123.3884382,48.45137872
Pedestrian behaviour,2014-10-16T21:35:00,hazard,Flying golf balls,1983,4,Other,490,-123.34548,48.45638811
Poor signage,2014-10-17T08:00:00,hazard,"The current construction of Johnson Street bridge is dangerous to cyclists, poor signage, a bike lane that abruptly ends. ",1973,3,M,493,-123.3734036,48.42787164
Poor signage,2014-10-14T17:15:00,hazard,"This is an intersection of the Goose which drivers do not pay enough attention to. This is partly due to design and partly due to inadequate signage.On the day in question, the driver cruised right through the stop sign, oblivious. I know a woman was hit here recently.",1960,7,F,495,-123.3782887,48.43244675
Poor signage,2014-10-09T08:30:00,hazard,"the new piece of Esquimalt Rd is poorly signed for cyclists, in both directions. There is a piece of westbound bike lane that ends after a few feet, forcing you to suddenly merge with cars. For eastbound cyclists, it is very confusing, so use caution, especially in the dark &/or rain.",1960,7,F,496,-123.3729511,48.42799742
Driver behaviour,2014-10-12T09:30:00,hazard,Driver veered into bikelane,,,,497,-123.3244085,48.41884838
Traffic flow,2014-10-20T08:00:00,hazard,,,,,498,-123.3025163,48.45393685
Poor visibility,2014-10-15T08:20:00,hazard,"Walkway/cycle path between Eric Rd. and Beam Crescent is lined by a high hedge on the north side, restricting visibility as one exits onto Beam Crescent.",1944,6,M,501,-123.3403409,48.47443275
Broken glass,2014-10-19T13:20:00,hazard,,,,,504,-123.334043,48.4505675
Poor visibility,2014-10-20T19:55:00,hazard,"This is a section of road in between streetlights and has very poor visibility at night. It's near a corner too, and I think there are manhole covers, so it's not a straightforward path and it's hard to see.  Would be a good place to put a new lamp post!",1979,12,F,513,-123.3323908,48.44616957
Other,2014-10-15T09:15:00,hazard,This intersection is a hot-spot for bike/vehicle incidents.  Be careful when crossing Wale Road at this location.  Both vehicle drivers and Cyclists can be at fault here.,,,M,484,-123.470192,48.44525863
Pothole,2014-10-28T09:30:00,hazard,"Multiple new potholes have opened up along Pear St, some are hard to see.",,,,551,-123.3346063,48.45849062
Traffic flow,2014-11-05T15:00:00,hazard,"Right lane is forced to turn right, uphill, heavy and fast traffic.",,,,552,-123.3303201,48.46032981
Driver behaviour,2014-10-09T17:30:00,hazard,Vehicles driving in the bike lane to turn left from Gordon Head Rd to McKenzie Ave.,1982,8,M,556,-123.3195591,48.46840791
Driver behaviour,2014-10-07T08:00:00,hazard,"Vehicles frequently use the bike lane here to drive through, either to turn right or go straight.",1982,8,M,557,-123.353076,48.42712175
Pothole,2014-11-06T16:20:00,hazard,About 1 foot in diameter but quite deep so hazardous to bikes (especially in the dark!),1978,4,F,559,-123.3517778,48.46462691
Pothole,2014-11-07T17:05:00,hazard,Big pothole just as the bike lane moves over to accommodate additional lane ,1980,4,M,564,-123.3741099,48.44407011
Curb,2014-11-07T17:05:00,hazard,Bike lane inexplicably ends without warning for 15 meters then returns again.,,,,565,-123.3704835,48.44508783
Traffic flow,2014-11-14T10:10:00,hazard,Can't get over to bike lane during traffic ,,,,570,-123.3432269,48.42691528
Parked car,2014-11-14T18:30:00,hazard,Car door opening on bike traffic. Not enough room for 2 lanes of cars + bikes. Major conflict area that needs to be addressed.,1985,4,M,577,-123.3333886,48.44329791
Driver behaviour,2014-11-14T05:30:00,hazard,Bikes heading south on Foul Bay have conflict with cars / buses turning west onto Lansdowne rd.  Turning lane and bike lane merge and it is confusing where bikes should go to get out of the way.,1985,4,M,579,-123.3218068,48.44624074
Traffic flow,2014-11-18T09:10:00,hazard,Morning commute traffic backs up and bikes conflict with cars. Only an issue between 8:30-9:30am. Lack of communication + coordination with bikes and vehicles. Hopefully a bike lane on McGill would solve this issue.,1985,4,M,580,-123.3152568,48.46503952
Pothole,2014-11-19T06:00:00,hazard,,,,,583,-123.30235,48.4546235
Other infrastructure,2014-11-19T14:00:00,hazard,"Bike Lane disappears for 1 block (both directions) on McKenzie.Traffic squeezes bikes into curb.No signs.",,,,584,-123.3340484,48.46864266
Parked car,2014-11-15T14:00:00,hazard,Vehicle parked in left turn bike lane,1982,8,M,572,-123.4084368,48.45860802
Parked car,2014-11-19T09:30:00,hazard,Boys and Girls Club of Victoria donation truck parked in the bike lane.,1982,8,M,585,-123.3148813,48.45389059
Parked car,2014-11-21T09:10:00,hazard,Vehicle parked in the bike lane,1982,8,M,586,-123.314302,48.4545808
Other,2014-11-14T09:30:00,hazard,Bike lanes on bridge frosted & icy. Possibly not salted/brined unlike the roadway.,,,,569,-123.4086514,48.45852264
Other,2014-12-12T08:40:00,hazard,Construction,1983,7,F,598,-123.3216834,48.44605571
Broken glass,2014-12-01T10:00:00,hazard,On sidewalk and road,1988,1,F,599,-123.3392197,48.42549139
Pothole,2014-12-16T17:00:00,hazard,"pothole in the southbound right lane on shelbourne, right where cyclists are riding.",1988,8,M,601,-123.3332598,48.45009072
Cyclist behaviour,2012-01-11T09:30:00,hazard,Cyclists speed through stop sign at blind corner. ,,,,605,-123.3170861,48.41201223
Pothole,2015-01-05T08:00:00,hazard,,,,,606,-123.3118719,48.43355724
Speed limits,2015-01-09T08:25:00,hazard,,,,,607,-123.314302,48.430304
Driver behaviour,2015-01-12T08:25:00,hazard,"drivers run this 4-way stop frequently, especially along Cranmore.",,,,608,-123.3133096,48.43169929
Driver behaviour,2015-01-05T08:30:00,hazard,,,,,609,-123.3046997,48.44501666
Poor signage,2014-10-06T16:30:00,hazard,,,,,610,-123.3030796,48.44773522
Poor signage,2015-01-12T16:50:00,hazard,,,,,611,-123.3035088,48.44994128
Pothole,2015-01-12T08:00:00,hazard,,,,,612,-123.3044958,48.44687056
Road surface,2015-01-16T06:30:00,hazard,The two crosswalks through this park section have textured or stamped surface.  The surface is seperating from the ashphalt right in the bike lane creating a dangerous groove for road bikes with narrow wheels.  I also crashed when hitting this.,1973,8,M,613,-123.3390427,48.4986776
Other infrastructure,2014-09-08T08:50:00,hazard,"It's too narrow here, hard to bike up with cars passing you over the speed limit and too close!",,,,615,-123.3631074,48.41768772
Driver behaviour,2014-08-01T08:50:00,hazard,Cars don't always stop and look for bicycles before making left turns without a light. Often they will blindly follow car in front of them.,,,,616,-123.3656234,48.41847811
Other infrastructure,2014-04-23T08:50:00,hazard,Lane is too narrow here. Cars often attempt dangerous passes.,,,,617,-123.3670181,48.41841403
Traffic flow,2015-01-23T16:55:00,hazard,"new traffic pattern forces north bound traffic into bike lane..very hazardous for cyclists. This is a new change to accommodate a bike lane, but it is even more dangerous for cyclists than before.",1960,4,F,618,-123.3217531,48.44614822
Pothole,2015-02-03T09:30:00,hazard,"Potholes in the shoulder heading north, on the south side of the intersection on Foul Bay Rd.",1987,9,M,622,-123.3226919,48.42638133
Road surface,2015-01-30T09:10:00,hazard,"Potholes and general road surface make riding this section of Shelbourne very unpleasant, especially when its raining.",1988,8,M,623,-123.3329594,48.45736645
Other infrastructure,2015-02-16T09:30:00,hazard,Major construction,1983,7,F,628,-123.3243227,48.43177759
Traffic flow,2015-02-19T17:35:00,hazard,no bike lane. traffic island pushes traffic to outer edge of road,1978,8,M,705,-123.4095633,48.4804462
Road surface,2015-02-17T17:35:00,hazard,"deep muddy spots in shared use trails, due to higher cycling traffic.",1978,8,M,706,-123.3952403,48.4855665
Road surface,2015-02-16T17:00:00,hazard,tree roots causing pavement upheaval ,1978,8,M,707,-123.3917642,48.4896197
Parked car,2015-02-02T08:30:00,hazard,"Around school drop-off (8:30) and pick-up (3:00) times, northbound bike lane is always filled with parked cars. Safer to stay out in traffic lane while beside the school.",1970,5,M,711,-123.3393323,48.45625648
Other infrastructure,2014-08-08T08:30:00,hazard,Sharp speed bump hidden by the abruptly descending road and distracting view of stunning beauty.,1966,12,F,716,-123.427856,48.44150081
