,i_type,incident_with,date,p_type,details,incident_effect,injury,trip_purpose,regular_cyclist,helemt,intoxicated,road_conditions,sightlines,card_on_roadside,riding_on,bike_lights,terrain,direction,turning,age,birthmonth,sex,pk,longitude,latitude,datetime,seconds
11,Near collision with moving object or vehicle,"Vehicle, side",2015-06-18T12:50:00,nearmiss,"Followed car turning left, it didn't see and continued to turn without signaling to make three-point turn. Had to break suddenly.",,No injury,Commute,Y,,,Dry,No obstructions,Y,"Quiet street, no bike facilities",NL,Flat,E,Turning left,1982.0,8.0,M,1148,-123.3569098,48.41981673,2015-06-18 12:50:00,1434653400
12,Near collision with moving object or vehicle,"Vehicle, side",2015-07-16T12:15:00,nearmiss,"Traffic stopped in outside lane, car started to make left turn and I had go slam on my brakes to avoid them left hooking me.",,No injury,Commute,Y,Y,N,Dry,Obstruction on road,N,"Busy street, no bike facilities",NL,Uphill,S,Heading straight,1982.0,8.0,M,1363,-123.3711612,48.44580782,2015-07-16 12:15:00,1437070500
13,Near collision with moving object or vehicle,"Vehicle, side",2015-09-12T16:25:00,nearmiss,,,No injury,Exercise or recreation,,,,,,,,,,,,,,,1586,-123.3894467,48.56164151,2015-09-12 16:25:00,1442096700
14,Near collision with moving object or vehicle,"Vehicle, side",2015-08-14T08:50:00,nearmiss,"North-bound in bike lane.  Trying to navigate from bike lane, across two lanes to the left turn lane on to Bay street.  Shoulder-checked, signaled and started crossing.  Speeding car in left lane did not slow down when bike was entering lane and bike almost collided with side of car.",,No injury,Commute,Y,Y,N,,,,,,,,,,,,1626,-123.36729170000001,48.43546495,2015-08-14 08:50:00,1439563800
15,Near collision with moving object or vehicle,"Vehicle, angle",2015-09-16T14:05:00,nearmiss,"I was commuting in the (narrow) bike lane; an eighteen-wheeler with a long empty trailer was veering into the bike lane as it approached from behind and as it went around a slight curve it crowded me in the bike lane, practically cutting me off & almost sandwiching me into the curb & truck-trailer.",,No injury,Commute,,,,Dry,,,Quiet street bike lane,,,,,,,,1655,-123.3642554,48.44148658,2015-09-16 14:05:00,1442433900
16,Near collision with moving object or vehicle,"Vehicle, side",2015-07-15T17:00:00,nearmiss,"Certain drivers just exit Chevron without caution, or looking to see if cyclists are coming out. Many drivers will either stop in the bike lane, or just turn out. Beware!",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Downhill,W,Heading straight,1994.0,2.0,M,1763,-123.31895290000001,48.46874581,2015-07-15 17:00:00,1437001200
17,Near collision with moving object or vehicle,"Vehicle, side",2015-09-03T15:00:00,nearmiss,"Old field road has very poor space allocation for cyclists, pedestrian and horse traffic.  Which is odd since it is classified as a local bike route and is a connection to other key bike routes.  There is a significant issue with car and truck traffic during rush hour.",,No injury,Commute,Y,Y,N,Dry,No obstructions,Y,"Busy street, no bike facilities",NL,Uphill,S,Heading straight,1972.0,7.0,M,1879,-123.4174061,48.56308999,2015-09-03 15:00:00,1441314000
18,Near collision with moving object or vehicle,"Vehicle, side",2015-05-06T07:20:00,nearmiss,"I saw the driver shoulder check but as he turned his head I moved forward and I knew he hadn't seen me.  As he proceeded into the bike lane and called out - his window was open - and he immediately stopped, just missing me.",,No injury,Commute,Y,Y,N,Dry,View obstructed,N,Quiet street bike lane,FB,Uphill,S,Heading straight,1960.0,3.0,F,918,-123.4031367,48.44218407,2015-05-06 07:20:00,1430918400
19,Near collision with moving object or vehicle,"Vehicle, side",2015-06-01T09:00:00,nearmiss,Near-miss driver rolled through intersection from Govt onto Fort Street.,,No injury,Commute,,,,Dry,No obstructions,Y,"Busy street, no bike facilities",NL,Uphill,E,Heading straight,,,,1072,-123.36786219999999,48.42489768,2015-06-01 09:00:00,1433170800
20,Near collision with moving object or vehicle,"Vehicle, rear end",2015-06-10T09:15:00,nearmiss,"Starting up at intersection, truck barreling up my rear, forced me to dodge right as he wasn't going to stop.",,No injury,Commute,Y,Y,N,Dry,No obstructions,Y,"Busy street, no bike facilities",NL,Flat,W,Heading straight,1982.0,8.0,M,1092,-123.3586693,48.42751687,2015-06-10 09:15:00,1433949300
21,Near collision with moving object or vehicle,"Vehicle, rear end",2015-06-18T11:45:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,1149,-123.35233020000001,48.43421702,2015-06-18 11:45:00,1434649500
22,Near collision with moving object or vehicle,"Vehicle, angle",2015-06-30T16:30:00,nearmiss,A tourist nearly cut me off when they suddenly swerved into an empty parking spot... no looking around at whether it was safe or not!,,No injury,Commute,Y,Y,N,Dry,No obstructions,Y,"Busy street, no bike facilities",NL,Flat,S,,1950.0,1.0,M,1254,-123.3698344,48.42478654,2015-06-30 16:30:00,1435703400
23,Near collision with moving object or vehicle,"Vehicle, side",2015-07-16T12:15:00,nearmiss,"Traffic stopped in outside lane, car started to make left turn and I had go slam on my brakes to avoid them left hooking me.",,No injury,Commute,Y,Y,N,Dry,Obstruction on road,N,"Busy street, no bike facilities",NL,Uphill,S,Heading straight,1982.0,8.0,M,1364,-123.3711612,48.44580782,2015-07-16 12:15:00,1437070500
24,Near collision with moving object or vehicle,"Vehicle, side",2015-09-12T15:05:00,nearmiss,,,No injury,Exercise or recreation,,,,,,,,,,,,,,,1587,-123.3856702,48.55069846,2015-09-12 15:05:00,1442091900
25,Near collision with moving object or vehicle,"Vehicle, side",2015-09-09T14:50:00,nearmiss,"middle school student riding on road away from school. A parked car cut across several lanes of traffic, attempting to enter parking lot on the other side. The car cut directly in front of cyclist, who narrowly avoided collision by braking hard and veering into lane. ",,No injury,Commute,Y,Y,N,,,,,,,,,,6.0,M,1608,-123.30730679999999,48.47051704,2015-09-09 14:50:00,1441831800
26,Near collision with moving object or vehicle,"Vehicle, head on",2015-09-11T16:15:00,nearmiss,Crossing Quadra at Reynolds. Car ran the red light going into town on Quadra.,,No injury,Commute,,,,Dry,No obstructions,N,Sidewalk,FB,Flat,E,Heading straight,,,,1627,-123.3617663,48.4664054,2015-09-11 16:15:00,1442009700
27,Near collision with moving object or vehicle,"Vehicle, rear end",2015-09-28T08:50:00,nearmiss,"Narrow road, car passed within inches.",,No injury,Commute,,,,,,,,,,,,,,,1721,-123.36630459999999,48.41847811,2015-09-28 08:50:00,1443451800
28,Near collision with moving object or vehicle,"Vehicle, angle",2015-06-07T16:45:00,nearmiss,"Car driver saw me approaching and decided to enter the road in front of me, then stayed to the right to block my path on the bike lane. I was moving fast and nearly couldn't stop in time.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,FB,Downhill,S,Heading straight,1986.0,4.0,M,1094,-123.4374521,48.53545416,2015-06-07 16:45:00,1433717100
29,Near collision with moving object or vehicle,"Vehicle, side",2015-07-15T08:45:00,nearmiss,Car grazed me as it passed along fort street. Not enough room for both cars and bikers in this tight spot.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Uphill,W,Heading straight,1988.0,2.0,F,1365,-123.3367842,48.426666100000006,2015-07-15 08:45:00,1436971500
30,Near collision with moving object or vehicle,"Vehicle, angle",2015-07-28T11:35:00,nearmiss,"car passed with not enough room, almost clipping my handlebars",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Flat,N,Heading straight,,,M,1417,-123.3331203,48.4516349,2015-07-28 11:35:00,1438104900
31,Near collision with moving object or vehicle,"Vehicle, side",2015-08-07T10:50:00,nearmiss,"A white straight truck passed me with one wheel in the bike lane, nearly clipping me from the side.  They continued driving north along the white line or slightly inside the bike lane.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Downhill,N,Heading straight,1985.0,,,1475,-123.3626997,48.43738682,2015-08-07 10:50:00,1438966200
32,Near collision with moving object or vehicle,"Vehicle, side",2015-09-10T16:30:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,1588,-123.35300090000001,48.4291792,2015-09-10 16:30:00,1441924200
33,Near collision with moving object or vehicle,"Vehicle, side",2015-09-09T16:20:00,nearmiss,Vehicle traveling north parallel to me makes illegal right turn onto Carey Road cuts in front of me.   Sign posted that only bicycles permitted to make right turn onto Carey Road.,,No injury,Exercise or recreation,Y,Y,N,,No obstructions,N,Busy street bike lane,NL,Downhill,N,Heading straight,1945.0,12.0,F,1628,-123.3779669,48.45621734,2015-09-09 16:20:00,1441837200
34,Near collision with moving object or vehicle,"Vehicle, angle",2015-09-21T08:55:00,nearmiss,Car turned right off of Finlayson onto Quadra cutting me off in the bike lane heading straight.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Uphill,E,Heading straight,1991.0,3.0,M,1664,-123.36122990000001,48.44621227,2015-09-21 08:55:00,1442847300
35,Near collision with moving object or vehicle,"Vehicle, head on",2015-09-29T16:20:00,nearmiss,"As the light turned green for traffic on Blanshard, I was making a right hand turn onto Saanich road when a black Dodge diesel pick up truck ran a red light.",,No injury,Commute,,,,Dry,,N,Busy street bike lane,FB,Flat,NE,Turning right,,,,1708,-123.3707732,48.45583312,2015-09-29 16:20:00,1443565200
36,Near collision with moving object or vehicle,"Vehicle, side",2015-09-29T16:45:00,nearmiss,"Busy intersection.  I press the x-walk button to start across Ravine Way from the sidewalk, but I get into the bike lane on Carey right after the x-walk.Driver was turning right during the walk sign and almost hit me on the x-walk.  I have my two kids on the back of my bike and travel slowly.",,No injury,Commute,,,,Dry,No obstructions,N,Sidewalk,NL,Flat,NW,Heading straight,,,,1726,-123.3777094,48.45690041,2015-09-29 16:45:00,1443566700
37,Near collision with moving object or vehicle,"Vehicle, side",2015-10-19T18:05:00,nearmiss,I was cycling in the bike lane along Shelbourne St./Cedar Hill Rd. A car was waiting to turn right and an SUV behind it decided to swerve around without any signal. I nearly went into the side of the car. Please be aware of impatient drivers. ,,No injury,Exercise or recreation,Y,Y,N,"Loose sand, gravel, or dirt",No obstructions,Y,Busy street bike lane,FB,Flat,N,Heading straight,1994.0,2.0,M,1821,-123.337369,48.48696027,2015-10-19 18:05:00,1445299500
38,Near collision with stationary object or vehicle,"Vehicle, open door",2015-05-27T18:05:00,nearmiss,"Coming down a downhill, I had a dbag on a cell phone getting out of a car by swinging his door open suddenly, right in front of me. I swerved to dodge it. The bike land doesn't provide much protection from car doors opening to close line you.",,No injury,Social reason,Y,Y,N,Dry,No obstructions,Y,Busy street bike lane,,Downhill,NE,Heading straight,,,M,1036,-123.3346385,48.42979143,2015-05-27 18:05:00,1432771500
39,Near collision with moving object or vehicle,"Vehicle, side",2015-05-27T16:30:00,nearmiss,"Coming into/through the traffic circle. An SUV pulled out following two other cars. It pulled out to my right, I swerved to avoid the car and go around it. ",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",NL,Flat,SW,Heading straight,1997.0,9.0,F,1075,-123.30762859999999,48.466867799999996,2015-05-27 16:30:00,1432765800
40,Near collision with moving object or vehicle,"Vehicle, angle",2015-07-13T22:55:00,nearmiss,,,No injury,Personal business,,,,,,,,,,,,,,,1340,-123.4245837,48.45106087,2015-07-13 22:55:00,1436849700
41,Near collision with moving object or vehicle,"Vehicle, rear end",2015-07-16T17:00:00,nearmiss,Driver was backing out of a hidden driveway onto Foul Bay Rd. and continued to back up right in front of us. My boyfriend managed to swerve out of the bike lane and far left in the road lane before getting hit. I was behind and managed to stop as the car was blocking both the car and bike lane. ,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,FB,Downhill,S,Heading straight,1990.0,6.0,F,1366,-123.32190870000001,48.443273,2015-07-16 17:00:00,1437087600
42,Near collision with moving object or vehicle,"Vehicle, side",2015-07-27T09:15:00,nearmiss,Travelling east down finlayson driver turning right southbound onto cedar hill and didn't shoulder check. Had to break hard to avoid colliding into her passenger door.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Downhill,E,Heading straight,1988.0,8.0,M,1420,-123.3445787,48.44834012,2015-07-27 09:15:00,1438010100
43,Near collision with moving object or vehicle,"Vehicle, angle",2015-08-06T10:40:00,nearmiss,Heading straight down the road when an oncoming truck almost turned right into me. Driving gave a small wave as if to say he was sorry.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",NL,Flat,E,Heading straight,1990.0,6.0,M,1476,-123.3309746,48.45283036,2015-08-06 10:40:00,1438879200
44,Near collision with moving object or vehicle,"Vehicle, side",2015-09-08T16:35:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,1589,-123.35915390000001,48.42852424,2015-09-08 16:35:00,1441751700
45,Near collision with moving object or vehicle,"Vehicle, rear end",2015-09-10T13:30:00,nearmiss,I was going down Douglas towards Belleville when a car parked to the right decided to pull out without a shoulder check. If I was not as hyper aware of my surroundings and as good a cyclist as I am I would have run right up his tail pipe!! Thankfully not 2 days before I had replaced my brake pads!,,No injury,Social reason,,,,Dry,No obstructions,Y,"Busy street, no bike facilities",NL,Downhill,S,Heading straight,,,,1610,-123.36635829999999,48.42060356,2015-09-10 13:30:00,1441913400
46,Near collision with moving object or vehicle,"Vehicle, side",2015-09-24T09:25:00,nearmiss,Taxi driver passed me as I was travelling towards Doncaster drive and then proceded to turn right in front of me.  He likely did not judge my speed correctly and I had to swerve to the left in order to avoid collision.,,No injury,Commute,Y,N,N,Dry,No obstructions,N,Busy street bike lane,NL,Flat,E,Heading straight,1988.0,8.0,M,1690,-123.3415639,48.44827963,2015-09-24 09:25:00,1443108300
47,Near collision with moving object or vehicle,"Vehicle, side",2015-08-14T16:40:00,nearmiss,"Riding west along McKenzie near Tuscany Village, driver of car pulled out in front of bike . Had to break hard to avoid collision.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Flat,W,Heading straight,1964.0,11.0,F,1709,-123.3314466,48.46864444,2015-08-14 16:40:00,1439592000
48,Near collision with moving object or vehicle,"Vehicle, side",2015-10-19T18:30:00,nearmiss,"I was waiting to turn left onto Feltham Rd and stayed in the middle of the lane. A truck decided to come to my left, blocking the oncoming lane. It was trying to turn right, ahead of me. A car then was coming in to turn into the lane that this truck blocked, and the truck swerved around me. ",,No injury,Exercise or recreation,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",F,Uphill,S,Turning left,1994.0,2.0,M,1822,-123.3283675,48.47605798,2015-10-19 18:30:00,1445301000
49,Near collision with moving object or vehicle,"Vehicle, side",2015-10-30T19:00:00,nearmiss,"My friends and I were biking, the traffic light turned yellow while we were going across the intersection, and an oncoming car that wanted to turn right rushed through the yellow light while we were still riding through. Beware of impatient drivers!",,No injury,Exercise or recreation,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,FB,Flat,N,Heading straight,1994.0,2.0,M,1910,-123.36533899999999,48.42460499,2015-10-30 19:00:00,1446253200
50,Near collision with moving object or vehicle,"Vehicle, side",2015-05-12T16:30:00,nearmiss,"I was coming to the road-crossing, and a large flatbed truck was moving across Dean, so I stopped to let him get across. When he cleared out of my way, I started to go, only to almost get hit by a car that didn't stop at the stop sign going the opposite direction to the flatbed.",,No injury,Commute,Y,Y,N,Dry,View obstructed,I don't know,"Quiet street, no bike facilities",NL,Flat,S,Heading straight,1987.0,1.0,F,999,-123.3247304,48.44205596,2015-05-12 16:30:00,1431469800
51,Near collision with moving object or vehicle,"Vehicle, head on",2015-05-27T16:45:00,nearmiss,"I was dismounted &  walking my bike in a clearly marked crosswalk. Northbound traffic stopped & I was halfway across when it became clear that a speeding southbound minivan wasn't  stopping. I paused & the van came screeching to a halt halfway into the crosswalk, barely missing my front tire. ",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,W,Heading straight,1964.0,8.0,M,1016,-123.32874299999999,48.43586356,2015-05-27 16:45:00,1432766700
52,Near collision with moving object or vehicle,"Vehicle, side",2015-05-29T15:25:00,nearmiss,"Car pulled into parking spot on side of road, had I not hit the brakes he would have crushed my between the curb and his car.",,No injury,Personal business,,,,Dry,No obstructions,Y,"Busy street, no bike facilities",NL,Flat,N,Heading straight,,,,1037,-123.35614440000002,48.41518118,2015-05-29 15:25:00,1432934700
53,Near collision with moving object or vehicle,"Vehicle, angle",2015-06-05T15:35:00,nearmiss,Was in bike lane.  Car turned left through bike lane to apartment parking lot and would have run me over if I had not braked very hard.,,No injury,Exercise or recreation,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Uphill,E,Heading straight,1960.0,3.0,M,1076,-123.3282119,48.4603974,2015-06-05 15:35:00,1433540100
54,Near collision with moving object or vehicle,Another cyclist,2015-06-10T16:30:00,nearmiss," I was moving through the intersection on a green light travelling east on Midgard.   Cyclist, riding on sidewalk,  with no helmet, crossed the road in front of me.  He was going against the red light.  Traffic was stopped for red light and cyclist ignored red light and rode in front of me.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Flat,E,Heading straight,1961.0,9.0,M,1099,-123.3328307,48.46498261,2015-06-10 16:30:00,1433975400
55,Near collision with moving object or vehicle,"Vehicle, angle",2015-07-08T16:50:00,nearmiss,Driver of a blue sedan executed a U-Turn from the oncoming (Northbound) curb across both lanes of traffic and into the bike lane. I (cyclist) was forced to bake hard to avoid colliding with the front passenger corner of the vehicle. The driver proceeded on their way without any further interaction.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,FB,Flat,S,Heading straight,1990.0,7.0,M,1368,-123.32204820000001,48.44030508,2015-07-08 16:50:00,1436395800
56,Near collision with moving object or vehicle,"Vehicle, side",2015-09-04T08:00:00,nearmiss,Driver failed to stop at stop sign while heading south along Gonzales. Even after seeing me continued thru the intersection. Driver finally stopped for me when he was 80% across the street. A driver behind me also nearly hit this car.,,No injury,Commute,,,,Dry,No obstructions,N,"Busy street, no bike facilities",Don't remember,Flat,E,Heading straight,,,,1590,-123.32966029999999,48.41862408,2015-09-04 08:00:00,1441375200
57,Near collision with moving object or vehicle,"Vehicle, angle",2015-09-11T09:00:00,nearmiss,Driver didn't look for me going right at a red light. Very aggressive. ,,No injury,Commute,,,,Dry,No obstructions,N,"Quiet street, no bike facilities",NL,Flat,W,Heading straight,,,,1630,-123.35875049999999,48.43761286,2015-09-11 09:00:00,1441983600
58,Near collision with moving object or vehicle,"Vehicle, side",2015-09-09T11:30:00,nearmiss,car passed me then made an immediate right turn causing me to skid sideways and brace on car to turn right to avoid impact. Person stopped and apologized profusely thinking they missed a turn but didn't realize the speed I was descending so thought they could beat me,,No injury,Exercise or recreation,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Downhill,S,Heading straight,1969.0,12.0,M,1667,-123.32174779999998,48.44369291,2015-09-09 11:30:00,1441819800
59,Near collision with moving object or vehicle,"Vehicle, side",2015-10-05T07:50:00,nearmiss,"Turning right from bike route of Dean Ave onto Lansdowne: Firstly it's a blind corner such that you can't see eastbound traffic approaching. Secondly, once on Lansdowne, vehicles pass at high speeds with less than 1m clearance to the curb. When taking the lane, vehicles zoom around. ",,No injury,Commute,Y,Y,N,Dry,View obstructed,N,"Busy street, no bike facilities",NL,Uphill,E,Turning right,1967.0,8.0,M,1749,-123.324312,48.44612687,2015-10-05 07:50:00,1444053000
60,Near collision with moving object or vehicle,"Vehicle, rear end",2015-10-26T08:50:00,nearmiss,Car from ontario honked and passed too close as I was in the lane as there is no bike lane on shelbourne. Same car passed to close nearer to Pear street,,No injury,Commute,Y,Y,N,Wet,No obstructions,N,"Busy street, no bike facilities",NL,Flat,N,Heading straight,1991.0,3.0,M,1850,-123.3328629,48.46131163,2015-10-26 08:50:00,1445871000
61,Near collision with moving object or vehicle,"Vehicle, side",2015-05-29T16:05:00,nearmiss,"BC Tranist Bus driver failed to yield when entering the traffic circle from the north. I was forced to stop. Driver also stopped and said, ""Didn't see you out the open driver's window."" I proceeded around the front of the bus.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",NL,Flat,NW,Heading straight,1969.0,,M,1038,-123.30759640000001,48.46715591,2015-05-29 16:05:00,1432937100
62,Near collision with moving object or vehicle,"Vehicle, head on",2015-06-11T07:20:00,nearmiss,"I was in left hand lane, turning left onto the Galloping Goose, off Quadra St.  Motorist did a rolling stop at the Stop sign at Greenridge Crescent and Quadra St.  Motorist was making a righthand turn.  She was watching for traffic approaching on her left while rolling through the stop sign. ",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Uphill,N,Turning left,1961.0,9.0,M,1100,-123.3629841,48.46798821,2015-06-11 07:20:00,1434028800
63,Near collision with moving object or vehicle,"Vehicle, side",2015-06-25T14:35:00,nearmiss,"Vehicle turning right off JSB merged into me, forcing me to brake.",,No injury,Social reason,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,S,Heading straight,1982.0,8.0,M,1235,-123.3703244,48.42749789,2015-06-25 14:35:00,1435264500
64,Near collision with moving object or vehicle,Animal,2015-08-06T17:00:00,nearmiss,Frikin deer!,,No injury,Commute,Y,,,,,,,,,,,,,,1478,-123.30432420000001,48.44675136,2015-08-06 17:00:00,1438902000
65,Near collision with moving object or vehicle,"Vehicle, side",2015-09-11T17:45:00,nearmiss,Car slowed down for the stop sign and started to run it without looking until the passengers alerted the driver and he slammed on his brakes.  Car stopped partway in the crosswalk and I was just able to swerve around it.,,No injury,Commute,,,,Dry,No obstructions,N,Mixed use trail,NL,Flat,N,Heading straight,,,,1592,-123.3756816,48.45080944,2015-09-11 17:45:00,1442015100
66,Near collision with moving object or vehicle,"Vehicle, angle",2015-07-19T12:05:00,nearmiss,Vehicle pulled out from parked position on right hand side of Yates street veering into the bicycle lane inches from cyclist. Cyclist was traveling downhill quickly and was forced to swerve immediately into adjacent lane to avoid being struck by vehicle. ,,No injury,Commute,,,,,,,,,,,,,,,1612,-123.3517084,48.42500802,2015-07-19 12:05:00,1437329100
67,Near collision with moving object or vehicle,"Vehicle, side",2015-09-30T17:50:00,nearmiss,A car made a left turn in front of me.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Flat,SW,Heading straight,1967.0,4.0,M,1731,-123.324673,48.46872939,2015-09-30 17:50:00,1443657000
68,Near collision with moving object or vehicle,"Vehicle, side",2015-05-10T18:10:00,nearmiss,Overtaking car merged right toward me causing a near miss.,,No injury,Exercise or recreation,,,,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,S,Heading straight,,,,929,-123.4107274,48.4784904,2015-05-10 18:10:00,1431303000
69,Near collision with moving object or vehicle,"Vehicle, angle",2015-05-19T16:45:00,nearmiss,"I was in the bike lane on Fort Street, heading NE. A car turning left from Fort on to St Charles Street almost hit me in the intersection; I had to brake and swerve. The driver may not have seen me, she was behind another car that had turned on to St Charles well before I reached the intersection.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Downhill,NE,Heading straight,,8.0,F,953,-123.33942890000002,48.42547003,2015-05-19 16:45:00,1432075500
70,Near collision with moving object or vehicle,"Vehicle, side",2015-06-08T08:50:00,nearmiss,car passed me by only a few feet max,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,N,Heading straight,,,,1078,-123.3329916,48.45470888,2015-06-08 08:50:00,1433775000
